W3 Verification Run
===================
Timestamp:    2026-06-20T18:54:55+00:00
PWD:          /voc/work/W3_package
Python:       Python 3.10.14
Has API key:  True
Uvicorn port: 8000

STEP                                          VERDICT                         DESCRIPTION
----                                          -------                         -----------
step0_python_version                          PASS                            Python version
step0_openai_key                              PASS                            OPENAI_API_KEY present
step0_pip_install_w2                          PASS                            pip install -r requirements_w2.txt
step0_pip_install_w3                          PASS                            pip install -r requirements.txt
step0_imports_ok                              PASS                            All required packages importable
step1_layout_complete                         PASS                            All canonical files exist at expected paths
step2_app_imports                             PASS                            from api.main import app — imports cleanly
step2_health                                  PASS                            GET /health returns 200
step2_ask_batched_valid                       PASS                            POST /ask_batched with valid question
step2_ask_batched_empty                       PASS                            POST /ask_batched with empty body → 422
step2_ask_batched_wrong_field                 PASS                            POST /ask_batched with wrong field name → 422
step2_ask_batched_wrong_type                  PASS                            POST /ask_batched with wrong type → 422
step2_ask_streaming                           PASS                            POST /ask streaming returns chunks
step3_pytest                                  PASS                            pytest tests/ -q
step4_uvicorn_start                           PASS                            Start uvicorn api.main:app + wait for ready
step4_curl_health                             PASS                            curl GET /health → 200 / {status:ok}
step4_curl_ask_batched_happy                  PASS                            curl POST /ask_batched (happy path) → 200 + W3 contract
step4_case1_empty_body                        PASS                            Lab §3a Case 1: empty body → 422
step4_case2_wrong_field                       PASS                            Lab §3a Case 2: wrong field name → 422
step4_case3_wrong_type                        PASS                            Lab §3a Case 3: wrong type (int) → 422
step4_case4_malformed_json                    PASS                            Lab §3a Case 4: malformed JSON → 422 or 400
step4_long_5000_chars                         PASS                            Lab §3b: 5000-char question → 200
step4_stress_test_50                          PASS                            Lab §3d: scripts/stress_test.py --requests 50 --concurrent 10
step4_uvicorn_stop                            PASS                            Stop uvicorn cleanly
